Cód. Art.;Descripcion;Anul;cant;codprecan;resto;codpreres
1;QUESO CREMOSO TREGAR X KG;no;158;1;0;
2;QUESO CREMOSO REMANSO X KG;no;0;;0;
3;QUESO DANBO TREGAR X KG;no;76;;0;
4;QUESO BARRA REMANSO X KG;no;41;;0;
5;QUESO POR SALUT X KG;no;18;;0;
6;QUESO POR SALUT LIGHT X KG;no;5;;0;
7;QUESO MOZZARELA EN BARRA X KG;no;3;;0;
8;QUESO CRIOLLO TREGAR X KG.;no;7;;0;
9;QUESO HOLANDA TREGAR X KG.;no;-3;;0;
10;QUESO PATEGRAS TREGAR X KG;no;0;;0;
11;QUESO FONTINA TREGAR X KG.;no;1;;0;
12;QUESO AZUL TREGAR X KG.;no;4;;0;
13;QUESO CHEDDAR TREGAR P/F X KG;no;0;;0;
14;QUESO CREMOSO TROZADO X KG;no;6;;0;
15;QUESO POR SALUT TROZ. X KG;no;1;;0;
16;QUESO POR SALUT LIGHT TROZ X KG;no;12;;0;
17;QUESO PORT SALUT LIGHT S/SAL TROZ X KG;no;-2;;0;
18;QUESO HOLANDA TROZADO X KG;no;1;;0;
19;QUESO CRIOLLO FRACCIONADO X KG;no;6;;0;
20;QUESO REGIANITO TROZ X KG;no;0;;0;
21;QUESO RALLADO TREGAR X 40 (B20);no;20;;5;
22;QUESO RALLADO X 120 GRS (B24);no;1;;14;
23;QUESO BLANCO CLASICO (B12);no;-1;;-7;
24;QUESO BLANCO LIGHT (B12);no;2;;3;
25;QUESO CREMA CLASICO X 190 (B12);no;-1;;-7;
26;QUESO CREMA LIGTH X 190 (B12);no;-1;;0;
27;QUESO MASCARPONE (B12);no;1;;4;
28;CREMA DE LECHE DOBLE X 200 (B12);no;27;2;6;
29;CREMA DE LECHE DOBLE X 350 (B12);no;36;;9;
31;NEUFCHATEL CLASICO (B12);no;7;;5;
32;NEUFCHATEL LIGHT (B12);no;4;;7;
33;NEUFCHATEL CIBOULETTE (B12);no;1;;0;
34;NEUFCHATEL SALAME (B12);no;2;;5;
35;NEUFCHATEL JAMON (B12);no;2;;10;
36;NEUFCHATEL CHEEDAR (B12);no;1;;4;
37;RICOTTA ENTERA (B6);no;0;;5;
38;RICOTTA MAGRA (B6);no;2;;2;
39;ARROZ CON LECHE (B20);no;8;;16;
40;ARROZ CON LECHE DULCE LECHE (B20);no;0;;13;
41;ARROZ CON LECHE CANELA (B20);no;0;;14;
42;ARROZ CON LECHE LIGHT (B20);no;1;;10;
43;ARROZ CON LECHE CHOCOLATE (B20);no;-1;;-7;
44;YOG CREM FRUTILLA X 125. (B24);no;24;;4;
45;YOG CREM VAINILLA X 125 (B24);no;17;;20;
46;YOG CREM DULCE LECHE X 125 (B24);no;5;;2;
